filepath,filename,folder,language,discipline,tokens,sentences,pairs,tokens_per_sentence
conllu/conllu_file/en/Edu/Edu13_en.conllu,Edu13_en.conllu,conllu/conllu_file/en/Edu,en,Edu,3779,177,176,21.350282485875706
conllu/conllu_file/en/Edu/Edu14_en.conllu,Edu14_en.conllu,conllu/conllu_file/en/Edu,en,Edu,2532,119,118,21.277310924369747
conllu/conllu_file/en/Edu/Edu15_en.conllu,Edu15_en.conllu,conllu/conllu_file/en/Edu,en,Edu,4043,157,156,25.751592356687897
conllu/conllu_file/en/Edu/Edu1_en.conllu,Edu1_en.conllu,conllu/conllu_file/en/Edu,en,Edu,3032,121,120,25.05785123966942
conllu/conllu_file/en/Edu/Edu2_en.conllu,Edu2_en.conllu,conllu/conllu_file/en/Edu,en,Edu,1789,80,79,22.3625
conllu/conllu_file/en/Edu/Edu3_en.conllu,Edu3_en.conllu,conllu/conllu_file/en/Edu,en,Edu,2732,120,119,22.766666666666666
conllu/conllu_file/en/Edu/Edu4_en.conllu,Edu4_en.conllu,conllu/conllu_file/en/Edu,en,Edu,2898,148,147,19.58108108108108
conllu/conllu_file/en/Edu/Edu5_en.conllu,Edu5_en.conllu,conllu/conllu_file/en/Edu,en,Edu,1784,111,110,16.07207207207207
conllu/conllu_file/en/Edu/Edu6_en.conllu,Edu6_en.conllu,conllu/conllu_file/en/Edu,en,Edu,2625,150,149,17.5
conllu/conllu_file/en/Edu/Edu7_en.conllu,Edu7_en.conllu,conllu/conllu_file/en/Edu,en,Edu,2098,117,116,17.931623931623932
conllu/conllu_file/en/Edu/Edu8_en.conllu,Edu8_en.conllu,conllu/conllu_file/en/Edu,en,Edu,2136,102,101,20.941176470588236
conllu/conllu_file/en/Edu/Edu9_en.conllu,Edu9_en.conllu,conllu/conllu_file/en/Edu,en,Edu,1625,71,70,22.887323943661972
conllu/conllu_file/en/Ent/Ent10_en.conllu,Ent10_en.conllu,conllu/conllu_file/en/Ent,en,Ent,1795,110,109,16.318181818181817
conllu/conllu_file/en/Ent/Ent11_en.conllu,Ent11_en.conllu,conllu/conllu_file/en/Ent,en,Ent,1623,96,95,16.90625
conllu/conllu_file/en/Ent/Ent12_en.conllu,Ent12_en.conllu,conllu/conllu_file/en/Ent,en,Ent,1176,66,65,17.818181818181817
conllu/conllu_file/en/Ent/Ent13_en.conllu,Ent13_en.conllu,conllu/conllu_file/en/Ent,en,Ent,4388,221,220,19.855203619909503
conllu/conllu_file/en/Ent/Ent14_en.conllu,Ent14_en.conllu,conllu/conllu_file/en/Ent,en,Ent,3707,181,180,20.480662983425415
conllu/conllu_file/en/Ent/Ent15_en.conllu,Ent15_en.conllu,conllu/conllu_file/en/Ent,en,Ent,3399,222,221,15.31081081081081
conllu/conllu_file/en/Ent/Ent1_en.conllu,Ent1_en.conllu,conllu/conllu_file/en/Ent,en,Ent,1486,64,63,23.21875
conllu/conllu_file/en/Ent/Ent2_en.conllu,Ent2_en.conllu,conllu/conllu_file/en/Ent,en,Ent,1173,79,78,14.848101265822784
conllu/conllu_file/en/Ent/Ent3_en.conllu,Ent3_en.conllu,conllu/conllu_file/en/Ent,en,Ent,1758,111,110,15.837837837837839
